group,component,n,n_failures,parameter,mean,sd,q2_5,q50,q97_5
Global,component_1,2124,1273,weight,0.44556120494344303,0.29819915070356856,0.014000209918756092,0.4201143857724883,0.9602408918057936
Global,component_1,2124,1273,eta,217.44509058848067,102.66374595532132,32.75779573694616,234.94479103991046,364.5099508148924
Global,component_1,2124,1273,beta,0.870016366410569,0.25580934046557174,0.6835149101723036,0.8353363648017538,1.416202058769572
Global,component_2,2124,1273,weight,0.5544387950565569,0.29819915070356856,0.039759108194206146,0.5798856142275117,0.9859997900812437
Global,component_2,2124,1273,eta,519.3628496643088,166.03877240250299,355.4529932048839,469.0050993397334,929.1855672964075
Global,component_2,2124,1273,beta,1.1514068990805912,0.4114301378398455,0.8256350405558321,1.0212556811327365,2.3499621973932245
Global,mixture,2124,1273,B10,25.549213143122,1.762873080771062,22.1264997375185,25.567280534569157,29.100660551720264
Global,mixture,2124,1273,B25,83.83175112384131,3.9987365301269113,76.11945224950182,83.81280267750739,91.68223408363346
Global,mixture,2124,1273,B50,238.54580539468728,8.969365964232864,221.80959893909645,238.177237215243,257.410076134952
Global,mixture,2124,1273,B90,949.7641927672605,39.043675083069715,878.6802637330162,947.808361316858,1033.0525015787832
Vt,component_1,310,213,weight,0.3932689948750898,0.3018379541769293,0.012438349829462186,0.33218299736282497,0.9564391525317381
Vt,component_1,310,213,eta,120.14999020343821,61.975575074224196,9.334458394813245,123.31986100344565,220.66586327693886
Vt,component_1,310,213,beta,0.9672481990619033,0.3578954724954784,0.5616622084926683,0.9179652171506087,1.8874762571765031
Vt,component_2,310,213,weight,0.6067310051249102,0.3018379541769293,0.04356084746826178,0.667817002637175,0.9875616501705379
Vt,component_2,310,213,eta,281.6911637304277,87.39712169892674,191.4258357503671,251.22805512898753,513.5098931691788
Vt,component_2,310,213,beta,1.3341798388084238,0.7232240306898855,0.8590582300757729,1.1554117874259824,2.847592699468964
Vt,mixture,310,213,B10,19.529032373582233,3.1960052504017797,13.443031530729519,19.4303703554444,26.01821405554079
Vt,mixture,310,213,B25,57.339943524351476,6.167961659605341,45.59444117390929,57.163474521425734,69.93741290209613
Vt,mixture,310,213,B50,145.09391407181354,11.722849301874527,123.33571621824487,144.71525929955038,169.10068673065777
Vt,mixture,310,213,B90,487.7959926900199,41.800537022539004,416.23728352480094,484.52025135073467,580.8678826225477
Ya,component_1,1109,648,weight,0.5444334523510649,0.2217209450484047,0.10054866464301164,0.5692759525688178,0.899751348311446
Ya,component_1,1109,648,eta,191.54612766112666,83.6497001423244,45.00829020703049,187.2805876350301,351.9262495612922
Ya,component_1,1109,648,beta,0.8039421227043111,0.0620479659304725,0.6712307915340873,0.8071860615720264,0.9138295176208396
Ya,component_2,1109,648,weight,0.4555665476489351,0.2217209450484047,0.10024865168855404,0.4307240474311822,0.8994513353569884
Ya,component_2,1109,648,eta,753.5143075858151,177.5963943476209,437.22938238549483,760.6985352931088,1087.8820623491013
Ya,component_2,1109,648,beta,1.5882985757829449,0.5389288756418117,0.8823239588975935,1.489775744942639,2.9289606137524755
Ya,mixture,1109,648,B10,23.335844233598536,2.4144537236389674,18.75818463372857,23.225831920402804,28.234765003285833
Ya,mixture,1109,648,B25,83.63757552235789,6.192838596473541,72.06650191011805,83.4717164354252,96.3987471294033
Ya,mixture,1109,648,B50,263.14412831788667,15.904494208256743,234.12633408581962,262.60512952569115,295.76951473751706
Ya,mixture,1109,648,B90,1060.7571401498292,55.24735678167673,960.9886279098525,1057.425577096885,1174.7073620967392
